TIME,DISP,TEMP
4545,2.13552,11.7632
4550,2.14903,11.7171
4555,2.16383,11.629
4560,2.17357,11.6039
4565,2.18539,11.6057
4570,2.18683,11.636
4575,2.18947,11.6425
4580,2.19104,11.6301
4585,2.19517,11.6331
4590,2.19615,11.6359
4595,2.17477,11.6699
4600,2.19578,11.7205
4605,2.1675,11.7478
4610,2.17719,11.7623
4615,2.18206,11.81
4620,2.16354,11.8465
4625,2.16991,11.8814
4630,2.15682,11.9422
4635,2.10666,11.9751
4640,2.12172,12.0663
4645,2.03736,12.1755
4650,2.03862,12.1169
4655,2.04487,12.1489
4660,1.97501,12.2204
4665,1.98318,12.277
4670,1.9084,12.3341
4675,1.90212,12.3874
4680,1.88535,12.4422
4685,1.84946,12.5043
4690,1.82292,12.5517
4695,1.80317,12.6071
4700,1.73822,12.6847
4705,1.64863,12.7764
4710,1.70697,12.8483
4715,1.69751,12.9554
4720,1.63761,13.0246
4725,1.58129,13.1203
4730,1.5188,13.22
4735,1.52785,13.3605
4740,1.52447,13.4617
4745,1.51008,13.5728
4750,1.47835,13.724
4755,1.46792,13.825
4760,1.40315,13.9512
4765,1.41608,14.0998
4770,1.2109,14.9255
4775,1.17548,14.9916
4780,1.21184,14.9991
4785,1.17629,15.0424
4790,1.1894,15.0678
4795,1.16312,15.0944
4800,1.09199,15.1181
4805,1.04776,15.1606
4810,1.05751,15.2049
4815,1.00483,15.3761
4820,1.01067,15.5099
4825,0.971774,15.5786
4830,0.959204,15.5848
4835,0.925492,15.6179
4840,0.905279,15.6155
4845,0.879793,15.6671
4850,0.875776,15.6507
4855,0.861792,15.6844
4860,0.818559,15.7564
4865,0.823688,15.8224
4870,0.750088,15.8266
4875,0.734594,15.9117
4880,0.680611,15.889
4885,0.673733,15.8287
4890,0.682936,15.8166
4895,0.681989,15.8532
4900,0.692232,15.7618
4905,0.688201,15.7794
4910,0.716679,15.8113
4915,0.70362,15.8874
4920,0.689008,15.8985
4925,0.684598,15.9851
4930,0.659211,16.0383
4935,0.650927,16.1049
4940,0.566837,16.2047
4945,0.581027,16.2148
4950,0.537381,16.3132
4955,0.512384,16.3714
4960,0.465717,16.4025
4965,0.470546,16.4341
4970,0.382947,16.4578
4975,0.423673,16.5211
4980,0.377011,16.591
4985,0.354424,16.7012
4990,0.311319,16.7646
4995,0.285227,16.8535
5000,0.260784,16.9376
5005,0.128179,17.0346
5010,0.061909,17.0478
5015,0.111445,17.0422
5020,0.116265,17.1222
5025,0.087109,17.1572
5030,0.074737,17.1493
5035,0.046841,17.2852
5040,0.01312,17.39
5045,-0.033311,17.4909
5050,-0.080355,17.5686
5055,-0.084831,17.6759
5060,-0.111125,17.7009
5065,-0.120231,17.7195
5070,-0.119076,17.8163
5075,-0.154372,17.8364
5080,-0.122737,17.7918
5085,-0.185417,17.8909
5090,-0.248095,18.016
5095,-0.269984,18.032
5100,-0.22705,18.0109
5105,-0.249163,17.9203
5110,-0.293098,17.9578
5115,-0.302553,18.1027
5120,-0.28573,18.0526
5125,-0.427881,18.0429
5130,-0.449394,18.0293
5135,-0.359025,18.0003
5140,-0.340579,17.9916
5145,-0.378693,17.9427
